name_comment,rating,time,review
riolen gaoat,5 stars,6 months ago,The receptionist who can speak English is very accommodating and really helpful all throughout the process. She assisted us and explained everything well. It was a great experience and did not have difficulties as a foreigner.
Tran Tran,1 star,3 months ago,The doctor was rude and didn't listen to her patient at all. I was there to help interpret and she kept cutting me off.
Fylde Green Man,5 stars,8 months ago,
Carel Oosthuizen,5 stars,5 months ago,"Came for work permit check up. Fantastic service. Clean, friendly, but can get busy. Definitely recommend this hospital!"
G T,4 stars,6 months ago,Doctors checked carefully and provided professional advice. At the same time administrative service is not so excellent. You may have to wait long time and go around the building.
Sudheer Marisetti,1 star,11 months ago,"Do not go to this hospital for Covid testing
- they say their charges are VND 600k on the phone
- then when I showed up they charged VND 300k extra for translation
- my hotel tells me that all Covid reports are in English and Vietnamese.

So this hospital takes advantage of those traveling and need the test reports quickly.

-I found later that there are other hospitals who collect sample in your hotel and bring the report to you at the hotel and charge less."
Willodean Maudlin,5 stars,4 months ago,Excellent services from all staffs. Reasonable price. Better after one day in hospital
Ruiz Chandler,5 stars,4 months ago,"Good service, friendly and helpful staff. A++ service for 1 hospital in Hanoi."
frank munoz,4 stars,4 months ago,nice service but lot of people on the restaurant when I have breakfast and lunch.
Emily Vargas,5 stars,4 months ago,Amazing staff and restaurant in a hospital. The first time i go to the hospital which have a nice and delicious restaurant inside.
naked grease,1 star,a year ago,"The hospital is clean. Some staff are not so friendly. Came here for stitches and they not only didn’t clean the wound for me but let me wait for just less than 2 hours despite saying ‘15 minutes’ wait time. For 3 stitches was 2mil, which was a lot of money but I came here for the speed and well, I paid so much more money than at other hospitals just for them to waste my time, still. They are no where near underpaid to be having this quality of customer service."
Minthiele Seeman,5 stars,4 months ago,"Good services, very clean hospital and welcoming staff."
Leigh-Ann House,5 stars,2 years ago,"I was really surprised and impressed by this hospital.

From the moment I walked in to the moment I left I had a wonderful experience.
They have translators who assist you immediately. The doctors and nurses where absolutely lovely. Their english level wasn't 100% but enough to get the message across. The facilities are clean and modern.
The prices are reasonable. You also get a food voucher to use at the restaurant.

I'd definitely recommend coming here."
Darryl Daniels,5 stars,4 months ago,Good services. Nice restaurant and clean room.
James,5 stars,2 years ago,"I went for a check-up on my ears. Service was friendly, professional and efficient. From the moment I arrived until I left, I was clearly directed and attended to. I hardly spent any time waiting to see a doctor. The charge was very reasonable at 500k, and it included lunch (which was a decent buffet selection). The hospital was clean and I'd gladly go back again for any future medical needs. Thank you to all the staff who attended me :)"
Phuong Anh Nguyen,1 star,a year ago,"I was at  HOng Ngọc Hospital (Yen Ninh, Ba Dinh district, Hanoi) on 15 May 2021. Honestly, I was really disappointed about the services and the price rate of this hospital.
I had a very small wart and Hong Ngoc's doctor said that I need to have laser burning. I was not strange with that because I often get warts, 1 ~2  times/year. And I usually have had Hong Ngoc's medical treatment, last year was VND 500,000/laser burning ($22)
But this time, the cashier informed me that the price is VND 1,000,000 ($44), double as compared to last year.
I was so surprised and asked cashier ""Why"", she told me to climb up to ask the doctor. The doctor explained simply ""Ah, the price is up...""
I was wondering why the doctor did not inform me in advance. And the price was double is unacceptable.
Then, I was shocked at price list of their warts treatment (given by cashier), it is from 0 ~ VND 10,000,000 (0 ~ $435). It means that the price of Hong Ngoc depends on doctor's mood. The gap is too too big, and the doctor can give any price if they want.
I decided to terminate their services. After that, I came to Hong Phat hospital (private & as well-known as Hong Ngoc). They charged me only VND 200,000/laser burning ($9). That's incredible.
About Hong Ngoc, since I left phone number with claim so that the management called me later, his 1st question is ""Can you tell me what happened at that day?. Wow, he is manager, he is management, he would asked his staff about whole story, but he ask me... That's weird...I am really concern about their services."
Le Xa,5 stars,3 months ago,One of the best hospital in Hanoi Old Quarter
Sally Lu,5 stars,4 years ago,"During 5 days in Vietnam, this is the only place gives good experience. The staff lead us to the doctor and explained in English very well. The doctor request me to do test. However, I explained I will return home tomorrow. They cancelled the test and told me to do test immediately when I back. No waiting time. The specialist fee is a bit high 400k  vdn, but acceptable during emergency."
Glady Rose G,5 stars,4 years ago,"They have good and clean facilities. Very efficient staff, and pretty reasonable price. Plus food voucher. :)"
Harvey Williams,4 stars,4 years ago,"A much better experience than I've had with other hospitals in the area.

They speak pretty good English, certainly enough to get a point across.

I arrived out of the blue at 2pm and I was done within half an hour.

They charged 300k for a consultation. This came with a free meal in the cafe.

There's parking downstairs.

I can recommend this clinic for STD testing."
Sham Khan,5 stars,4 years ago,"Fantastic experience.

I was a bit worried to go here as the reviews mention patients who experienced overdiagnosis. But I had no such experience.

Very smooth process from beginning to end . As soon as you walk into the door, a nurse finds you an English speaking minder, who stays with you throughout your time there. The minder asks you what your problems are and refers you a doctor and discusses fees with you. The minder accompanies you to the doctor and translates for you. He then accompanies you to your tests.

From consultation with minder to getting my urology and blood test results took 1:30hours. Very efficient.

This place was a great find as I was bit shocked at the prices charged by the “international clinics” in Tay Ho. For simple
Blood tests I would recommend coming here for better value for money.

Free food buffet is a nice touch !"
Alex Fer,5 stars,a year ago,"Really good hospital
Clean and modern equipments
Gentle and professional staff
Can also find English speaker medics
Prices are ok considering the quality of the services"
holly george,5 stars,4 months ago,come here for 3 days and now all is good.
Thúy N. Trần,2 stars,6 years ago,"I'm from Hanoi, living oversea and had to see a doctor in the last family visiting. Got a suggestion from a friend to visit this clinic.

Conclude: I will never go back there. If I need to see a doctor in Hanoi again, I'd rather go to Bach-Mai hospital which takes longer time, and less shiny buildings, but much better doctors.

Pros: cleaner than public hospital in Vietnam
Cons:
+ Incompetent doctors. I went to a nose-ear-throat specialist for tonsillitis, who gave me antibiotic without asking for my medical history (I happen to have some antibiotic allergy), without explaining what's going on, and the treatment didn't really work ( I have to go to another doctor 2 weeks later). In fact the prescript antibiotic has correlated reaction to the one I have allergy with (I checked this by looking it up myself).

+ Irresponsible staff and doctor: they gave me wrong prescription, and only found out after I insisted the doctor to explain her treatment to me.

+ Rip-off attitude: from the reception, they always try to send you to do tests which have nothing todo with my issue, and when I specifically request where I want to go, they basically ignore my profile, then sent me to the right place but without fixing my incorrect information that they had put in."
Brett Robinson,3 stars,3 years ago,
Tamarapratico Flemings,5 stars,4 months ago,"Good services, friendly and helpful nurse."
Nelson Donald,2 stars,a year ago,"Went here for an RT-PCR covid19 test, and they charge an extra  inconspicuous 900.000VND  (approx 39USD) for a ""preliminary test and consulting"" fee (which from my experience is just a really basic checkup involving the use of a stethoscope and nothing else) on top of the 731.000 VND(approx 31USD) standard price for PCR testing. Would not recommend anyone come here for covid testing unless you are desperate."
Mathew B,1 star,6 years ago,"Dangerously Incompetent

After presenting with traveler's diarrhea they wanted to admit me overnight and ordered an ultrasound where the technician informed me I have appendicitis. When pressed, he claimed he was 100% sure. His scan report notes an increased size (5-8mm, where 3mm is normal) and increased lipid deposits.

Not believing any of this, I left this hospital for a second opinion where it was later reported that my appendix is a normal size, there was no lipid involvement, and zero indicators of appendicitis. Off on my way with some antibiotics, no overnight stay necessary.

So, go here if you want an unnecessary surgery, an unnecessary overnight stay, or just wish to risk your health with these incompetent practitioners."
mari soliman,1 star,2 years ago,"Worst hospital in the universe! Terrible! Never wanna do their job, whatever sickness you have they will never bother to listen to how you feel, they will just prescribe you augmantine for anything!
Unfortunately it’s the nearest hospital to my house and I end up having to go there in the worst times when I cant last in a taxi for longer distances, never waste you money and time in this place."
Елена Левина,5 stars,4 years ago,"I gave birth to my boy here in Hong Ngoc. I'm so appreciate! Firstly I was planning to deliver in Bangkok and came to Hanoi to get Thai visa. I was searching for the hospital where I can get medical check-ups while I'm in Hanoi. But when I came to the Hong Ngoc I've changed my mind. Very affordable delivery package, modern medical equipment, English speaking staff and so friendly and caring attitude (and free meals for visitors :-)). It's been 1,4 years from my due date and I'm so happy I've chosen Hong Ngoc. I've never seen so beautifully made scar from Cesarean section like I have!"
Sherlock,1 star,5 years ago,Awful Hospital. Lied to and forced to undergo a procedure (I&D) not required. Was also told 2 day recovery and instead ended up in Hospital daily back in Singapore for an entire month! The pharmacist at Hong Ngoc gave me medicine I was allergic to. Nobody asked about allergies. After alerting her she begrudgingly slammed a different box of antibiotics on the table with the same ingredients under another brand name! Do not use this Hospital.
bobby jordan,5 stars,4 months ago,My favourist place when I have problems with my health.
Eduard Aggenbach,1 star,a year ago,"Horrible service, kept prioritizing local patients above me at every department. Been 4 hours to get my health check and I am still waiting to get all the checks done."
Heikeberes Harps,5 stars,4 months ago,One of the best hospital in Hanoi.
Dan Sullivan,5 stars,4 months ago,thanks all. a nice experience in a nice hospital.
Richard England,5 stars,4 months ago,A good hospital in Hanoi Old Quarter
Angie Viv,4 stars,2 years ago,"Quite crowded and the building is old. However, they provide some service for the foreigner and there are English speaking staff during the working hour normally."
Макс Марков,1 star,2 months ago,Worse service I ever had
Rio Domingo,5 stars,4 years ago,Fantastic service for a non-Vietnamese speaker.  Really great staff for a very reasonable price.  Highly recommend!
Nguyen Khanh Van,5 stars,3 years ago,"Very quick and convenient interms of services, especially with foreigners. The rooms aren't that big but it's the location that counts (downtown)"
Blake Santos,5 stars,4 months ago,A nice day in good Hospital.
Alberto Ramos,5 stars,4 years ago,"I went two times. The price was reasonable, waiting times were not much and medical attention was good quality.

Thanks!"
Marko Moric,1 star,5 years ago,Very long waiting time.1.5 hour for getting our kids foot x ray.would consider coming back
Ha Le Truong,1 star,a year ago,"Worst hospital ever! Overpriced and rude, uneducated staff."
Anh Tuan Bui,4 stars,6 years ago,Better than Trang An hospital. The place is clean and has a quality service.
Diana Shelton,5 stars,4 months ago,Excellent services.
Richard Campbell,4 stars,6 years ago,"Decent.  Clean.  Fairly efficient, but bed side manners are lacking."
Le Hoang Lam,2 stars,2 years ago,Bad service. Staff are careless. No instructions at all.
Julia Davigora,1 star,a year ago,Horrible service wouldn’t recommend it!
Nguyen Thu Hang,4 stars,4 years ago,Dich vu kha tot Ă
Nhung Trần,5 stars,2 years ago,"Good service
Nice canteen"
hoa nguyen,1 star,a year ago,Expensive and worst attitude
Nguyễn Quang Ba,4 stars,4 years ago,Hopital & Hotel is convenience!
Đỗ Bút,5 stars,6 years ago,ok do
Thùy Nguyễn,5 stars,6 years ago,So good
Quang Bui,1 star,3 years ago,Rip off altitude everywhere
Hoan Buihuu,5 stars,4 years ago,Good
chung anh Lê Thị,4 stars,4 years ago,good!!!
Lương Hoàng,5 stars,2 years ago,Amaze
Ngân Thanh,5 stars,5 years ago,good
Mai Son Ngoc,5 stars,6 years ago,Good
Cuc Pham,5 stars,5 years ago,Good services!
tuyen nq,4 stars,3 years ago,Clean
Duy Trần,5 stars,5 years ago,Good service!
Luong Tam,4 stars,6 years ago,Good service
Luan Vu,5 stars,5 years ago,Excellent!
Tran Thuy Ngan,5 stars,6 years ago,Good service
Du Pham,1 star,7 years ago,Poor service
Trung Ngọc,4 stars,6 years ago,good caring
CHING LÂM THỊ HOÀNG,1 star,7 months ago,"Trước khi đến mình đã rất cẩn thận điện thoại hỏi lễ tân bên bệnh viện có dịch vụ khám sức khoẻ thi bằng lái ko, thì nhân viên xác nhận có. Khi đến bệnh viện thì bệnh viện lại bảo ko có."
Thanh Dương Đặng,2 stars,6 months ago,
Hung Loan,4 stars,8 months ago,Bệnh viện chuyên nghiệp từ nhân viên bảo vệ lễ tân mình đặt lịch khám cho bố mẹ trước lên thủ tục khám rất nhanh. Bác sĩ khám tư vấn nhiệt tình chuyên nghiệp
Phương Võ,5 stars,7 months ago,
khoalongle,1 star,3 months ago,"Gia đình chúng tôi lời đầu tiên xin lỗi đã làm mất 5’ thời giờ quý báu của y bác sĩ.
Chỉ vì thảo luận vỏn vẹn chưa đến 5’ để xem có cho con nhập viện luôn hay không mà bác sĩ đã không biết suy nghĩ như thế nào mà phát biểu “cho con nhập viện hay không mà cũng lằng nhằng”
Xin thưa, tôi sẽ không bao giờ bước chân vào nơi này thăm khám nữa ạ.
Thứ 1: Nhập viện trong diện khẩn cấp và khuyến nghị của bác sĩ thì không ai phản đối. Nhưng bác sĩ đã nhận định và đưa ra lựa chọn về nhà bổ sung thuốc uống và theo dõi thì việc gia đình tôi có đủ cơ sở vật chất để chăm con tôi ở nhà thì tôi phải xem xét.
Thứ 2: Tận tâm, tận tuỵ nó không chỉ ở hành động mà từ TÂM, từ suy nghĩ của y bác sĩ. Có nhập viện thì gia đình chúng tôi cũng phải làm mọi thủ tục. Lằng nhắng ở đây ý là sao? Lằng nhằng cho ai? Và 5’ với con ốm chúng tôi còn xót hơn thưa bác sĩ.

Chào thân ái"
Xiao Zhuang,1 star,5 months ago,"Giá dịch vụ đắt mà chẳng bằng phòng khám ngoài, bác sĩ có vẻ không tha thiết với công việc đang khám cho bệnh nhân vẫn dừng lại để đi buôn chuyện, bác sĩ siêu âm mà câu cửa miệng toàn ""hình như"" thế này thế kia k có tí chuyên môn nào, siêu âm kết quả chuẩn đoán sai lung tung. Giá đắt nhưng chất lượng kém, không có lần thứ2!"
Hà Đặng,5 stars,4 months ago,
Trang Vũ,1 star,a month ago,"Tôi cho con vào chiếu vàng da 2 ngày
tại cơ sở phúc trường minh ngày 20/3 . Khi đi con vẫn khoẻ mạnh bình thường khám trước khi cho đi chiếu đèn mọi thứ đều ổn . Đến ngày 22/3 gia đình tôi đón về thì thấy cháu có hiện tượng thở khò khè kèm theo sổ mũi và ho . Mắt thì khóc sưng húp lên chả hiểu đội ngũ bác sĩ lẫn y tá chăm sóc kiểu gì :)"
William Lewis,5 stars,4 months ago,"Dịch vụ xét nghiệm, chụp chiếu khá nhanh có kết quả, ko phải chờ lâu. Tiết kiệm nhiều thời gian và nhanh ra bệnh cho mn đỡ lo lắng. Ok nhé mn."
Dương Vũ,5 stars,2 months ago,Bệnh viện luôn luôn làm việc một cách nhanh chóng và hiệu quả. Tôi đã đến đây nhiều lần và tôi thấy rất ấn tượng với sự tậm tâm của đội ngũ bác sĩ và điều dưỡng. Họ luôn đem đến những dịch vụ tốt nhất cho bệnh nhân. Phòng khám cũng được trang bị đầy đủ với các thiết bị hiện đại giúp các bác sỹ có thể thăm khám và chẩn đoán bệnh một cách hiệu quả.
Hoang-Anh Nguyen,1 star,3 months ago,"Tệ hơn cả bệnh viện công. Nam hộ tá hách dịch, nói chuyện như bố người ta. Đi khám bệnh đơn giản mà mất hơn 2 tiếng đồng hồ trong khi không hề đông, đến chịu."
Như Nguyễn Thị Quỳnh,5 stars,3 months ago,"Tôi đã ghé thăm phòng khám Hồng Ngọc Yên Ninh và tôi rất hài lòng với trải nghiệm của mình. Khu vực làm việc rất sạch sẽ và được trang bị hiện đại. Nhân viên là nhiệt tình và giúp đỡ, họ giúp tôi có một cuộc hẹn mới nhanh chóng và thuận lợi. Tôi đánh giá cao phòng khám này và khuyến khích mọi người đến thăm."
Bao Huu,5 stars,4 months ago,
Mai Quỳnh,5 stars,a month ago,"Người nhà mình khám, nằm viện và phẫu thuật ở đây nhiều rồi nhưng giờ mình mới trải nghiệm khám ở đây.
Bác sĩ, đội ngũ y tá, thậm chí cả các cô vệ sinh rất thân thiện, nhiệt tình. Bác sĩ giải thích rất cặn kẽ , quan tâm và nhớ tình trạng của bệnh nhân, ngay cả sau khi khám ,liên hệ hỏi thì vẫn được nhiệt tình giải thích về liều thuốc , uống và đã thấy cải thiện nhiều.
Nhân viên thu ngân đúng như mọi người nói thái độ không tốt lắm nhưng đối với mình thì họ xử lý thủ tục thanh toán, bhyt nhanh là được."
tho Bạch,1 star,3 weeks ago,
Tran Gia,5 stars,4 months ago,"Khá thích bệnh viện Hồng Ngọc, cơ sở khang trang, sạch sẽ, đội ngũ y bác sỹ đều hướng đến hài lòng khách hàng, ok nhé mn"
Hien Pham,1 star,a month ago,"Hồi xưa mình hay đi Hồng Ngọc vì dịch vụ nhanh, sạch sẽ. Nhưng mà có đợt mình bị viêm họng nổi hạch, bác sĩ cho làm đủ các loại test, trong khi chỉ cần nội soi là có thể thấy được, thành ra khám xong mất hơn 1 triệu tiền xét nghiệm xong chỉ bị viêm họng, từ đó mình ko bao giờ đi bệnh viện hồng ngọc nữa."
Ung Duong,5 stars,2 months ago,"Hồng Ngọc Yên Ninh là một trong những bệnh viện hàng đầu tại Việt Nam. Bệnh viện có cơ sở vật chất hiện đại, thiết bị chuẩn quốc tế, đội ngũ điều dưỡng và bác sĩ nhiều kinh nghiệm. Họ luôn sẵn sàng hỗ trợ bệnh nhân một cách nhanh chóng và thân thiện."
Nguyen Hieu Phong,5 stars,3 months ago,Bệnh viện Hồng Ngọc Yên Ninh là một trong những bệnh viện hiện đại và được trang bị đầy đủ với các trang thiết bị tiên tiến. Nhà hàng của bệnh viện cũng rất đẹp và có thể đáp ứng nhu cầu ăn uống của bệnh nhân và gia đình. Tôi rất hài lòng với dịch vụ của bệnh viện và khuyến khích mọi người sử dụng dịch vụ của bệnh viện này.
Nguyên Trần Minh,5 stars,2 months ago,Tôi đã đến bệnh viện này và tôi đã rất hài lòng về đội ngũ nhân viên và dịch vụ của họ. Nhà hàng của bệnh viện cũng rất lớn và đồ ăn cũng rất ngon. Các món ăn đều được chuẩn bị một cách cẩn thận và đảm bảo vệ sinh an toàn thực phẩm. Tôi cũng rất thích cách họ luôn luôn làm việc nhanh chóng và hiệu quả. Tôi đánh giá rất cao về bệnh viện này nói chung.
Trang Đặng Thị Huyền,5 stars,3 weeks ago,"Trang thiết bị hiện đại, phòng bệnh nhân sạch sẽ, rộng rãi, mỗi phòng có 2 người mà lại có cả tivi, tủ lạnh."
Quỳnh Vu Hạnh,5 stars,3 months ago,"Phòng khám Hồng Ngọc Yên Ninh là một điểm đến tuyệt vời cho những ai cần chăm sóc sức khỏe. Nhân viên y tế rất chuyên nghiệp và thân thiện, trang thiết bị hiện đại và tiên tiến. Tôi rất hài lòng với dịch vụ và chăm sóc mà tôi nhận được tại đây. Tôi khuyên mọi người tham khảo phòng khám Hồng Ngọc Yên Ninh nếu họ cần chăm sóc sức khỏe chuyên nghiệp."
Kieu Oanh,5 stars,5 months ago,
Mỹ Anh Nguyễn,5 stars,3 months ago,"Dịch vụ tốt, thủ tục nhanh. Vào một lúc là khám xong hết xong lên nhà hàng ngồi nè."
Cilym Tics,5 stars,3 months ago,
Ngô ánh Kiều,5 stars,4 weeks ago,"Khâu xử lý làm bảo hiểm rất nhanh, bão lãnh toàn phần, chỉ việc ký thôi"
janniejane dinh,1 star,3 weeks ago,"Mang tieng benh vien tot nhung cha ra gi :) Cho thi lau, benh nhan thi dong nhung mo dung 1 phong khám :) Khong bao gio quay lai!"
Đoàn Trịnh,5 stars,2 months ago,"Thích nhất là nằm viện và có thể order xuất ăn theo bữa được, trước nằm viện khác, cứ đến bữa lại phải bò ra ngoài tìm đồ ăn"
Nguyễn Thắm,5 stars,a year ago,
VAT VAT,4 stars,9 months ago,Bệnh viện ngay giữa trung tâm rất thuận tiện thăm khám tuy nhiên ko có chỗ giữ xe ô tô . Nhân viên y tế phục vụ chuyên nghiệp và nhiệt tình
Vân Huyền Nguyễn,5 stars,3 months ago,"Hơi vướng chỗ để xe ô tô một chút do trong phố, còn lại đều rất OK. Dịch vụ. phòng, nhà hàng phục vụ bệnh nhân."
Thanh Bình An,2 stars,a year ago,"Bệnh viện nên đào tạo lại nhân viên lễ tân dưới sảnh, mọi người đến test covid thì nhân viên hỏi rất cộc lốc và khó chịu"
THAN TONG,1 star,7 months ago,"- Nay đưa bé đi khám ở phòng khám hồng ngọc savico nói chung ban đầu dịch vụ khá oke. Phòng ốc ổn. Do bé bị viêm tai vs viêm phế quản nên bác sỹ tư vấn luôn nằm viện tiêm kháng sinh vs theo dõi sẽ nhanh khỏi hơn. Mình oke nộp tiền các kiểu các bạn y tá chọn luôn giường đơn cho mình.
- Xong xuôi về dọn đồ đi sang 55 yên ninh thì bắt đầu cảm nhận được dịch vụ thật sự của hồng ngọc . Vào lễ tân dẫn đi tới phòng lưu viện 216, bác sỹ y tá hỏi thăm xong xuôi thì mình có hỏi mình đặt giường đơn thì bao giờ có phòng cho bé vs bà nội lên nằm.
- Tưởng nhân viên hồng ngọc nhẹ nhàng như nào, gặp đúng chị tên Là hay Chà gì gì đó  giọng đã khó nghe còn phán cho câu "" hiện không có giường đâu, khi nào phải có người ra thì mới vào được, có người còn phải lưu viện qua đêm ở đây nữa "".
- Ủa Hồng Ngọc savico ko check trước phòng ??? Mình trả tiền để đc nằm phòng tốt chứ phòng lưu viện giường rộng chắc đc 1m còn chét 3 giường vào 1 phòng @@ . Hỏi check đc phòng nào đến lịch ra viện không thì cũng không biết nốt. Hệ thống 4.0 quần què gì vậy ?
- Gọi hotline thì thấy đẩy cho các cơ sở còn bảo anh đi gặp quản lý Quân đi. Ủa. Mình phản ánh xong lên hotline còn phải tự đi tìm quản lý bv để trình bày nữa sao :)
- Xong ngồi trước phòng 216 từ 11h đến 17h chiều mới thấy dịch vụ Hồng Ngọc đỉnh nữa . Các chị thì thầm sắp phòng vs giữ phòng... mà lại nói to quá chằng may mình nghe thấy. Thì thầm vs phụ huynh phòng bên lát có tầng này tầng kia ra anh đi làm hồ sơ nhập viện đi :) chán chả buồn nói :)
- Mà ko biết phòng lưu viện cạnh 216 toàn thân quen hay sao mà thấy ai vào chị Là hay Chà gì đó giọng khác hẳn . Khó hiểu :)
- Các chị y tá tung chính sách giảm 20% nếu nằm giường lưu viện . Ng bệnh bỏ gần 2tr 1 đêm chọn bệnh viện tư để đc thoải mái hơn. Các chị lại giảm mấy trăm nghìn để ng bệnh và ng nhà nằm chung cái giường rộng chưa đến 1m . Đến ạ các chị . Làm giàu không khó.
- Nói chung Say gút bai không có lần 2 :)"
