name_comment,content_comment
Ngoc,Video quá đúng và quá hay 
Bach Tuyet Nguyen,"Nước mắt chảy xuôi, không chảy ngược mãi mãi là như vậy"
Tuan Nguyen,
Sơn Nguyễn Thị Hương,"Nhà mình thì mình  ở , có tiền mướn người chăm sóc ."
Huong Nguyen,️️️
Thiên Lê,"Tôi rất chia sẻ cũng như tâm tư cùng TG! Nói thì muôn vàn lắm vẫn mỗi cây mỗi hoa mỗi nhà mỗi cảnh biết nói sao cho trọn vẹn nghĩa tình? Nhà gưỡng lão cũng nhiều mức giá khác nhau! Con cái vô trách nhiệm tiền của có nghĩa gì đâu thời này cha Mẹ không tiền đang khỏe cũng khổ nói chi già yếu? Làm người nhìn xa trông rộng mấy ai làm được khó lắm sống còn trẻ cũng có nhiều tiền khi già rồi cũng phải nhiều tiền bây giờ cha Mẹ không làm ra tiền con cái nó không có trọng nói chi ngoài xã hội…………,..!"
Lan Le,"Ko gì bằng ở nhà của mình , quan điểm của tôi là thế đấy ."
Bằng Thái,"Câu một mẹ nuôi mười con thục sự nó có từ lâu rồi,không phải bây giờ mới có ,như vậy thì từ xưa đã có tình trạng bất hiéu ,chẳng qua vì xã hội xưa thì dư luận là điều người ta rất sợ ,nên họ né ,chứ không phải không có hơn nữa truyền thông ngày xưa kém nên chắc  có nhiều mà ta không biết"
ngan nguyen,Ở viện dưỡng lão khổ lắm
Khanh Vu,Vào mà tốt hơn đừng dại gì mà không vào. Vào mà thấy không bằng ở nhà thì đừng dại mà ở làm gì. Trang cuối cuộc đời là trang khó nhất. Đó là một định lý mà khó ai thay đổi được.
Hương Mai,Tùy từng gia đình mà áp dụng bây giờ ai cũng bận cả thì chả đưa mẹ đến viện dưỡng lão vấn đề nhiều nhà có tiền không mà đưa mẹ đến nhà dưỡng lão không phải đơn giản đã già rồi chấp nhận đừng so sánh mấy là thương con cháu còn ở đời nó là quy luật muôn đời
Hùng Đào Đức,Ko bao giờ hạnh phúc khi sống xa người thân.
Thành Đoàn,Chẳng đâu bằng ở nhà mình .
phuong nguyen,"Mình già nó khác với khi Bố Mẹ nuôi con trẻ .Vì ng già ốm đau , lẩm cẩm .mất trí nhớ ...v..vvv.Nhất lả tại các QG kg phải là VN rất rất khó điều kiện cho các con cháu chăm nom các Cụ ...."
Hùng Nguyễn thanh,"Thà sống ở viện dưỡng lão đỡ tuổi hổ bản thân hơn là sống cùng con cháu khi chúng nó coi cha mẹ, ông bà chẳng ra gì , đúng là xã hội thời 4.0( tuổi già giờ đây không thích nghi với thời đại đành phải chịu tụt hậu phía sau )."
Hue Nhu,"Cuộc đời nầy không có gì là Bất công cả, người Hạnh phúc, người Đau khổ???? Nhân quả vốn công bình.."".Ân đền oán trả "" ,hiểu được  lý Nhân duyên nầy ta sẻ sống thoải mái hơn,, Trồng cây ngọt thì hưởng quả ngọt, không kiếp nầy thì kiếp sau ,chớ ngồi đó mà oán trách củng chẳng thay đổi được gì, làm con cái khó chịu theo...Đốt 1 ngọn đèn lên, thay vì ngồi đó mà nguyền rủa bóng tối, mong lắm thay.."
Minh Sơn Đỗ,Cha mẹ chăm con là bon phan và trách nhiệm con chăm sóc cha mẹ kho lắm
Mai Đặng Thị Phương,Tks all
Mai Goff,"Tôi không có ở với con đâu, 2 thế hệ rất là khác nhau. Đời sống quá mắc mỏ, cần 2 vợ chồng phải đi làm mới có đủ tiền để sống. Ở chung với con cái không có hạnh phúc đâu, tôi thấy nhiều người gây gổ, mất tình nghĩa. Không phải là vào viện dưỡng lão dễ đâu."
Văn Nguyễn Thị,"Nếu ở củng con cháu mà bị đối xử tệ bạc như bà mẹ trong câu chuyện thì làm sao có được cái mà chủ kênh gọi là : << tình yêu thương gia đình >> ? Vậy nên lúc còn trẻ hãy cố gắng làm việc chăm chỉ , tâm hướng tới và làm những điều thiện lành , tích lũy , dành dụm để khi con cái trưởng thành,có công ăn việc làm ổn định , ko phải nhờ cậy đến mình nữa thì tìm đến những khu an dưỡng dành cho người tu theo giáo lý nhà Phật để tu tập BV sức khỏe cho chính mình , ăn chay và trau dồi lòng yêu thương , tôn trọng sự sống của muôn loài vạn vật để ko tạo thêm nghiệp quả bất thiện, khi trở về với cát bụi sẽ được nhẹ nhàng , thanh thản . Tiền bạc đóng góp chỉ tầm 1-2 triệu / tháng , khi chết đi , nếu còn tiền thì để lại hết cho những người đã lo cho mình lúc cuối đời  . Như vậy là ko phiền đến con cháu mà còn để lại phúc đức nhờ công phu tu tập của mình cho con cháu ."
Ngọc Nguyễn Thị,Cho nên. Nn cần thông qua luật quyền sống của con người
Cao Thị Mỹ,"Tôi rất ủng hộ quyền được chết, có phương pháp chích một mũi thuốc để ra đi một cách nhẹ nhàng khỏi đau đớn cái thân và khỏi phiền hà con cháu phải không các bạn?"
Kim Hoàng,Hay quá
van thanh phan,Đó là quy luật của muôn đời. Tuổi trên bảy mươi mà còn phải đưa đón cháu
Trang Ngo Thi Thu,"Vì họ quên câu  của người Việt ""Trẻ vui nhà, già vui chùa"" về già thì vài chùa tu, đừng ham sống ở nhà."
Thuy Pham,"Ai rồi cũng già, cũng lạc hậu, được lòng đứa này mất lòng đứa kia, già sẽ khổ vì không đứa nào chăm."
Taffi,"ở phương tây mà kiến thức chăm sóc người già trong trái dưỡng lão mà yếu kém thì bị chủ sa thải (cho nghỉ việc )chứ đợi đấy mà dám hỗn láo .Chẳng qua những chủ nhân của các viện dưỡng lão ở việt nam không có học hành về đạo đức nghề nghiệp, nên người làm thuê cũng (giỏ nào quai ấy ) .Thành thử người vào trại mới khổ thân ."
Tịch Lê Văn,"Quan chức VN chỉ lo thu vén cá nhân chứ không bao giờ nghĩ đến việc chăm lo cho người già , dù họ cũng có tính đến nhưng họ lại nghĩ già rồi , vô dụng , có làm gì lợi cho xã hội , lợi cho họ đâu mà phải quan tâm nhiều thế . Đường lối đề ra là phải chăm sóc người già neo đơn , nhưng chỉ nói thôi chứ không có hành động cụ thể nào . Thế đấy ! Vì quan lại họ nhiều tiền rồi nên họ không quan tâm đến về già , họ bỏ tiền ra thuê nguòi nghèo chăm sóc thì họ cần gì đâu !"
Bích Thủy Trần,"trẻ cậy cha.già ko phải chưa chắc mà chắc chắn luôn.cha già ko cậy đc con..sau này con nó cũng đối xứ với nó như vậy  .vòng đời luật đời nó vậy .,chấp nhận thôi ..còn trại dưỡng lão có tiền. nhưng ko có máu mủ với ng chăm nên chưa chắc đã đc đối xử tốt đâu ..thôi cứ nghĩ cứ vào viện dưỡng lão đi .cho khỏi phiền ..dù gì cũng ko nghe những lời khó nghe khi ở chung với con cháu"
Hue Tran Thi,đưa vào dưỡng lão dù có đóng tiền nhưng kô kiểm soát được cũng bị đối xử theo cảm tính
Trường Phạm Lê,"Bà thật bất hạnh,đẻ được con gái bất hiếu"
Huong Tran,"Một câu:"" tự thân mà vận động"" ae mà ko có lợi cho nó thì miễn nha! Kkkkk"
Thao Hà,Những kẻ muốn tống cha mẹ vào VDL thì họ đâu cần cha mẹ muốn hay ko ? Chỉ cần được dảnh tay là chúng thích rồi
Vinh Lê,bố mẹ đau ốm thì chẳng giám mua cho bố mẹ một lạng yến vài triệu nhưng sẵn sàng tiết kiệm mua Cho con miếng đất vài tỷ rất rất nhiều người như vậy các bạn đồng ý không
David Family Cuộc sống Đức,Con nuôi cha mẹ tính tháng tính ngày...
Tel Viet,Xin thưa nhà đài nếu các bác sinh thành sống quá tho con cái cũng già yêu thì sao ạ
Son Nguyên,"Rồi ai cũng phải già, bạn có muốn vào viện dưỡng lão không?.Hầu như ai nghe vậy cũng trạnh lòng. Như vậy đã biết vào viện dưỡng lão người già buồn lắm. Nhất là người việt nam ,về già rất muốn gần người thân ,con cháu. Bởi người già như chuối chín cây,rụng lúc nào không biết. Nên tâm lý là buồn lắm""xa con ,xa cháu rồi""...buồn lắm ,!Hơn nữa người già rất thích tự do ,thoải mái ..mà có nơi đâu tự do thoải mái như nhà của mình không?. Nên nhiều người chọn sống riêng một mình trong ngôi nhà của mình là vậy."
Tri Dang,"Cho dù muốn nói gì thì nói,buồn ráng chịu chứ ở thế kỷ nầy thì đó là..lựa chọn ...của đại đa số khi ta già..vì con làm ăn thành công,hạnh phúc tràn đầy thì hok có gì đáng nói còn ngược lại thì....nói chung khi ta già ta sống với người già....rồi...đi... một mình..."
thaoline,Vì vậy tôi ủng hộ Quyền được chết.
Congduc Thai,Nghe buồn quá
Lan Nguyen,Dù viện dưỡng lão ko bằng ở nhà với con cháu nhưng cụ nào nằm lâu quá con cái coi cũng ko ra sao .có nhiều giá đình con láo quá bố mẹ vẫn còn khỏe mạnh còn đi lại đc mà bọn chúng còn coi ko ra gì .đến lúc mà nằm 1 chỗ ko biết sẽ ra sao .
Dr SC,Viện dưỡng lão chỉ dành cho người giàu thôi
tuấn nguyễn minh,Tôi ủng hộ quyền đc chết 
Chung N,"Nó là cái nợ đồng lần. Con mình mình nuôi nó , nó nuôi con nó. Hãy tự lo cho mình đi. Có phúc thì hưởng bạc phúc thì chịu."
Tran Tinh,cau chuyen dua cha len nui luc cha ve gia
Phuong Vu,Like
Cư Trần Văn,Chỉ sợ ko tiền thôi.
Ly Nguyễn,Vậy những người kg có tiền thì ho có vô đc viện dưỡng lão kg
Hùng Nguyễn,Con tôi khi cần sẽ mua 39 viên xen ru xen ( mới hơn 60)
Michelle Nguyen,"O vien duong lao buon lam? No giong  Nhu la  “ nha tu giam long cho nguoi gia” va o den cuoi doi co don. Hay tim hieu them can than, truoc khi vao vien duong lao? Vi nhieu nguoi gia nghi rang , “ vo vien duong lao de co bac si, y ta , thuoc men , co nguoi hau ha rat suong. . Roi sau do , vo mong. Buon va khoc . Rat dang lam."
Huong Tran,Ae còn sẵn sàng cho ng ngoài vài 3 chục tr còn ae nó chỉ cho 1 ch thôi! Bó muốn hình tượng hơn ae.
Trì Đỗ Văn,Bài viết rất chính sác
Hoa Mai Huỳnh Thị,Ở dưỡng lão dịch vụ
VN,"Cứ liên quan đến ""quản lý"" là mất dạy mà."
Vietphuc,"Tuổi già đang sồng sộc đến,nghe clip này bổng thấy sợ hãi,hoang mang ghê.."
Thanh Oai Nguyễn,Chăm bố mẹ mà kể lể trời chu đất diệt.
xuan hong tran,Mình là number one 
Vĩnh Thành Hồ,"Thành phố nơi tôi ' cho thuê nhà 'sân vườn .
Ở 1 phòng nhỏ như chung cư mi ni í .
 Lấy tiền dưỡng già 'thuê người giúp việc tại gia á kìa !"
Khuê Trần,Tôi ủng hộ về quyền được chết...nó giải quyết được nhiều vấn đề.....
Tran Tuyet,Lúc trẻ làm việc có đóng thuế cho nhà nước đâu mà về già  đòi viện dưỡng lão nhà nước lo
Huong Tran,Cái gì cho mà đc nhiều thì nó cho còn nó sợ mất thì miễn nha! Kkkkk@ ai cần chứ?
Cuong Vinh,Lẩm cà lẩm cẩm !
Lan Hoang,Âm kém quá
Dũng Minh,Sao Việt Nam tất cả mọi thứ cái gì cũng tệ hết vậy.
Thikimquy Nguyen,"xh hiện đại chẳng thấy đâu , như vậy là vh con người đi lui chớ không phải là tiến lên hđ"
Cầu Nguyễn Hữu,Dài dòng văn tự...
hoang tuan binh,"Nói dài, nói dại"
dat taicha,Các.cụ..ta.xưa...có.khôn.hơn...ngày.nay..về..cư.xử..ko...văn.minh...linh.tinh.
Lan Nguyễn,"Thời trước sinh đông con khi già có các con xúm vào lo lắng chăm sóc cha mẹ. Nay chỉ có 1 hoặc 2 đứa , áp lực công việc căng lại còn gia đình nhỏ của con nữa nên ko đủ tg chăm cha mẹ. Bố mẹ thời nay cũng nên thoáng đi."
Linh nguyen,Già rôi
Lam Nguyễn,Loai con này thà ko có còn hơn
SdGood Guy,I love America. But most Americans coming over from other countries are very selfish.  Take care yourself first.
Thao Hà,Con gái là KẺ THÙ ĐẤY BÀ Ạ . CON TÔI CŨNG NHƯ CON BÀ ĐẤY . cay đắng lắm ...
lai tuong,Vớ vẩn
Hoài Nhân Nguyễn,dài dòng...lạc đề..0đ.
Sulezy,"Làm con hãy hiểu cảm giác của cha mẹ,đừng để đến khi hiểu thì đã muộn..hối hận khi cha mẹ kg còn. Cảm ơn tác giả rất nhiều."
Vinh Lang,"Nghe câu chuyện cuối chương trình sao mà thương tâm quá thật hiếm khi có người con gái nào bất hiếu với mẹ như vậy.Một người mẹ vô phúc ,trước sau cũng gặp quả báo thôi "
Vi N Ho,"Vào viện dưỡng lão không vui không hạnh phúc thì sao chứ!Cũng phải ráng chịu thôi anh bạn!Già yếu, không làm gì được thì bảo làm gì bây giờ. Không lẽ ngồi đó tru tréo,than phiền trách móc bắt con cái phải chăm mình?Cuộc sống của tụi nhỏ cũng mệt nhọc và cực khổ đủ điều để lo cho cái gia đình nhỏ của nó.Thế nên cha mẹ lúc trẻ hãy tự tính toán lo cho ngày già của mình.Vào viện dưỡng lão Có buồn,khổ,cô đơn, không hạnh phúc tuổi già cũng đừng cho con cháu biết.Mình mà than thân trách phận chỉ làm cho chúng ngán ngẩm và tránh xa."
dinh bui kim,"Ở đời khôn chết , dại cũng chết hiểu biết và có phúc đức thì được sống sung sướng /."
Hằng Nguyễn,Đã từng có y tưởng này.. bởi sợ con mình phải khô vì mình
Thanh Phạm,Vòng quay cuộc đời...rồi đâu cũng vào đó...đẻ ra thì nuôi...
Bằng Thái,"Bán bớt đất trả nợ tiền làm nhà ,đuổi thẳng cổ hai vợ chồng nó đi,đay đúng là gần mực thì đen .không dạy được nữa rồi.phải cho hai thằng anh nó biết!!!"
Ba Le,Đúng rồi ở việt nam  hiện giờ mà nói già tôi vô dưởng lảo là mơ  đừng mong  nếu ko có thật nhiều tiền vì diện dưởng lảo ở vn do tư nhân mở ra mục đích  kinh doanh như khách sạn
nguyen le,"Nười VN  văn hóa như nhau chung , lo tất cho con, về già trừ trường hợp bịnh ko lo thân được, bằng ko tự lo, miễn nó phát triễn là vui rồi, cái kiểu nghèo đói mà có hiếu sum vầy không bằng nó giàu có vươn lên với người ta và thế giới, để làm được như thế nó rất giỏi, và mất thời gian của nó!@, nói trắng ra là rất CÓ hiếu."
Loan Nguyễn Thị,Còn gái  một dạy mày sẽ bị quả báo  yên tâm  đi
Ringing Bells,"Thế con cái làm việc ở hải đảo , kế cả bác sỹ đêm đang trực có ca cấp cứu có chạy về để cứu cha mẹ được không,, thật vô vân"
Nguyễn Danh,"Viện dưỡng lão ở đâu mà vào?  Nhà nước bận lo xây dựng xã hội chủ nghĩa cho tương lai , còn xã hội hiện tại phải chịu hy sinh thôi."
Tuyet Nguyen,"Rút cuộc bài này muốn nói gì ? Ở với  con thì nó hỗn láo ,vào viện dưỡng lão thì tủi thân.Vậy thì chọn cái nào là đúng ?"
Xuan Mai Le,"Mỗi cây mỗi hoa , mỗi nhà mỗi cảnh , tui đã buồn, nghe chuyện của các bác lại càng buồn thêm, thôi thì ráng chịu đựng vậy, sẽ có ngày mình sẽ đi đến cuối đường thôi !"
Rosy Rain,Đúng nên mua nhà ở gần bố mẹ để tiện chăm non . và điều này cần được lên kế hoạch từ rất sớm
dat phan,Trường hợp con gái nhà này giống con gái nhà hàng xóm  .trên đời này chuyện gì cũng có thể xảy ra
Tô ty,Thương cho mẹ già quá có cô con gái mất nết  còn ngòng gì nữa đâu
Tích Lê,Cha mẹ cả đời vì con cháu vậy khi già họ lại càng muốn gần con cháu hơn theo tôi vào trại dưỡng lão là chúng nó đưa vào tù của tuổi già và đời cũng chấm hết từ đó
Toan Phung,"Một mẹ nuôi được mười con, mười con lại ko nuôi được mẹ , buồn x h con ng ngày càng mất đi cái tình ko còn tứ đại đồng đường như ngày xưa"
Huong Tran,Ngta cần hình tượng chứ ae xó hình tượng gì đâu????? Haha
Hoa Ly,"Ban kla nói ân đền oán trả sao chồng mình rất hiếu thảo với cha me thưong anh em mà sinh con mất day bất hiếu
Nhưn bù lai em út thưong"
